LOG TYPE,MESSAGE,LOG
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=204595,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=52077,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=119203,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=118097,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=181431,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=202757,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=33460,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=135225,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=52131,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=26968,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=312016,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=131453,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=21264,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=215778,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=172392,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=184341,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=192260,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=218678,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=206886,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=52042,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=213621,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
